#Gaia Source ID, RA, Dec, SNR, Gmag, RV, RVerr, FeH, FeHerr
4969841627550660608,   33.905829,  -34.599403,   18.9,  17.74,     90.77,   1.47,  -1.94,   0.19
4969992221987294976,   34.187021,  -33.840422,    3.7,  19.50,    116.11,   5.99,      ,        
4970601905482914048,   34.795417,  -33.121203,   36.8,  16.54,    117.48,   0.79,  -2.06,   0.13
4970326404802896896,   35.433371,  -33.664853,    2.9,  19.50,     82.03,  11.32,      ,        
4969997517683640832,   34.555904,  -33.705767,   75.3,  15.81,     89.33,   0.69,  -1.82,   0.11
4971762951104394112,   32.686208,  -31.712725,    7.0,  18.35,    100.23,   9.01,      ,        
4971343045037499648,   32.106400,  -32.311658,   24.3,  17.12,     90.49,   0.97,  -2.18,   0.14
4971172998693117824,   31.983775,  -32.873947,   43.5,  15.44,     95.82,   0.73,  -1.88,   0.12
5019443856958262016,   31.903833,  -31.537075,    8.4,  18.39,     96.92,   3.24,  -2.16,   0.34
4953456632257474048,   39.585046,  -37.853028,    4.1,  19.27,     82.00,   3.82,      ,        
4966965300835914368,   36.719083,  -34.958939,    5.8,  19.30,    105.73,   3.73,      ,        
4967031305893516160,   36.463342,  -34.676547,   11.2,  18.79,     89.48,   2.05,  -1.57,   0.31
4966908160590759552,   36.636358,  -35.593208,   24.2,  17.85,     94.89,   0.82,  -2.11,   0.16
4966510618417939328,   35.637967,  -35.978519,    6.4,  19.44,    107.34,   4.86,      ,        
4969689276470827904,   31.016213,  -33.404342,    6.7,  18.59,     96.91,   8.60,      ,        
5017616709150967296,   29.857096,  -33.557311,    4.9,  19.38,     92.98,   4.08,      ,        
4969675871876088832,   30.322888,  -33.451533,    6.7,  18.51,    100.86,   7.03,      ,        
5017834000136971520,   30.273708,  -32.419192,    3.1,  18.42,     81.85,  33.51,      ,        
5017850630250382976,   30.176471,  -32.291142,    4.2,  19.34,    101.31,   6.29,      ,        
5017626368534547456,   29.751379,  -33.609942,   35.0,  16.68,     83.45,   0.81,  -2.21,   0.14
4965882144443385600,   37.708021,  -36.229903,    8.3,  19.03,    108.27,   3.48,  -1.95,   0.29
4965792362447281920,   38.118283,  -36.829914,    6.4,  18.60,    117.91,   8.33,      ,        
4966098129758824064,   37.255358,  -35.711853,    7.0,  18.56,    100.62,   6.46,      ,        
4965675882934008576,   36.573517,  -36.453700,    5.3,  19.10,     98.55,   4.73,      ,        
4965873558805479040,   37.544817,  -36.380011,   27.2,  17.56,    107.03,   0.95,  -2.08,   0.14
